policy_number,customer_id,policy_type,coverage_amount,premium_amount,start_date,end_date
POL1001,1,Health,500000,12000,2024-01-01,2025-01-01
POL1002,2,Auto,300000,8000,2024-02-01,2025-02-01
POL1003,3,Life,1000000,15000,2024-03-01,2025-03-01
POL1004,4,Home,750000,10000,2024-04-01,2025-04-01
POL1005,5,Health,400000,9000,2024-05-01,2025-05-01
POL1006,6,Auto,250000,7000,2024-06-01,2025-06-01
POL1007,7,Life,1200000,16000,2024-07-01,2025-07-01
POL1008,8,Home,600000,9500,2024-08-01,2025-08-01
POL1009,9,Health,450000,11000,2024-09-01,2025-09-01
POL1010,10,Auto,350000,8500,2024-10-01,2025-10-01
POL1011,11,Life,900000,14000,2024-01-15,2025-01-15
POL1012,12,Home,500000,8000,2024-02-15,2025-02-15
POL1013,13,Health,600000,13000,2024-03-15,2025-03-15
POL1014,14,Auto,200000,6000,2024-04-15,2025-04-15
POL1015,15,Life,1100000,15500,2024-05-15,2025-05-15
POL1016,16,Home,700000,9500,2024-06-15,2025-06-15
POL1017,17,Health,550000,12500,2024-07-15,2025-07-15
POL1018,18,Auto,280000,7500,2024-08-15,2025-08-15
POL1019,19,Life,950000,14500,2024-09-15,2025-09-15
POL1020,20,Home,650000,9000,2024-10-15,2025-10-15
POL1021,21,Health,480000,11500,2024-01-20,2025-01-20
POL1022,22,Auto,320000,8200,2024-02-20,2025-02-20
POL1023,23,Life,1050000,15200,2024-03-20,2025-03-20
POL1024,24,Home,720000,9700,2024-04-20,2025-04-20
POL1025,25,Health,410000,9100,2024-05-20,2025-05-20
POL1026,26,Auto,260000,7100,2024-06-20,2025-06-20
POL1027,27,Life,1150000,15800,2024-07-20,2025-07-20
POL1028,28,Home,610000,9600,2024-08-20,2025-08-20
POL1029,29,Health,460000,11200,2024-09-20,2025-09-20
POL1030,30,Auto,340000,8400,2024-10-20,2025-10-20
POL1031,31,Life,920000,14200,2024-01-25,2025-01-25
POL1032,32,Home,520000,8100,2024-02-25,2025-02-25
POL1033,33,Health,620000,13200,2024-03-25,2025-03-25
POL1034,34,Auto,210000,6200,2024-04-25,2025-04-25
POL1035,35,Life,1120000,15600,2024-05-25,2025-05-25
POL1036,36,Home,710000,9400,2024-06-25,2025-06-25
POL1037,37,Health,560000,12600,2024-07-25,2025-07-25
POL1038,38,Auto,290000,7600,2024-08-25,2025-08-25
POL1039,39,Life,960000,14600,2024-09-25,2025-09-25
POL1040,40,Home,660000,9100,2024-10-25,2025-10-25
POL1041,41,Health,490000,11600,2024-01-30,2025-01-30
POL1042,42,Auto,330000,8300,2024-02-28,2025-02-28
POL1043,43,Life,1060000,15300,2024-03-30,2025-03-30
POL1044,44,Home,730000,9800,2024-04-30,2025-04-30
POL1045,45,Health,420000,9200,2024-05-30,2025-05-30
POL